,l_count,latitude,longitude,minstay,price,property_type,rating,room_type,neighbourhood,Availability,Total_rcounts,Occupancy_rate,Income_month
8979204,1.0,41.382966,2.165503,1.0,35.0,Apartment,5.0,Private room,el Raval,13.97,3.0,13.2743362832,4.375
8979469,1.0,41.385364,2.180809,1.0,38.0,Apartment,4.0,Private room,"Sant Pere, Santa Caterina i la Ribera",91.78,2.0,15.8707482993,3.16666666667
8983916,1.0,41.415392,2.180417,2.0,19.0,Apartment,5.0,Private room,el Camp de l'Arpa del Clot,24.11,1.0,45.0704225352,1.58333333333
898460,0.0,41.410344,2.150544,10.0,68.0,Apartment,5.0,Entire home/apt,la Salut,99.73,1.0,75.0,28.3333333333
8990923,1.0,41.425189,2.160994,1.0,9.0,Apartment,5.0,Private room,la Font d'en Fargues,13.42,1.0,23.3333333333,0.375
8991764,2.0,41.391296,2.146917,2.0,35.0,Apartment,5.0,Private room,l'Antiga Esquerra de l'Eixample,99.73,4.0,47.2488262911,11.6666666667
8993151,1.0,41.377774,2.189399,1.0,29.0,Apartment,5.0,Shared room,la Barceloneta,70.68,1.0,23.8095238095,1.20833333333
900003,1.0,41.385075,2.182299,1.0,61.0,Apartment,4.5,Entire home/apt,"Sant Pere, Santa Caterina i la Ribera",83.01,51.0,14.1935483871,129.625
9012327,0.0,41.384735,2.178175,1.0,25.0,Apartment,4.0,Private room,"Sant Pere, Santa Caterina i la Ribera",99.73,1.0,21.6524216524,1.04166666667
9012509,1.0,41.377945,2.14399,1.0,12.0,Dorm,5.0,Private room,Hostafrancs,12.88,1.0,35.1648351648,0.5
9024342,1.0,41.400376,2.158038,1.0,35.0,Apartment,5.0,Private room,la Vila de Grcia,27.95,1.0,27.1186440678,1.45833333333
903024,0.0,41.379859,2.155987,3.0,112.0,Apartment,4.0,Entire home/apt,Sant Antoni,99.73,7.67,12.3626373626,107.38
9038526,0.0,41.389071,2.195136,1.0,150.0,Apartment,5.0,Entire home/apt,la Vila Olmpica del Poblenou,80.55,1.0,34.4221105528,6.25
9042324,1.0,41.383403,2.154713,1.0,25.0,Apartment,5.0,Private room,la Nova Esquerra de l'Eixample,13.15,2.0,15.6862745098,2.08333333333
905111,0.0,41.392882,2.165595,3.0,308.0,Apartment,4.5,Entire home/apt,la Dreta de l'Eixample,98.08,4.0,18.5534591195,154.0
9076053,1.0,41.403395,2.146619,2.0,47.0,Apartment,4.0,Entire home/apt,el Putxet i el Farr,14.25,2.0,25.730994152,7.83333333333
9086545,1.0,41.376734,2.16919,2.0,111.0,Apartment,4.5,Entire home/apt,el Raval,86.03,4.0,15.4761904762,37.0
9094792,0.0,41.398392,2.160858,1.0,25.0,Apartment,5.0,Private room,la Vila de Grcia,16.71,1.0,100.0,1.04166666667
910349,1.0,41.37324,2.161297,2.0,20.0,Apartment,5.0,Private room,el Poble Sec,49.32,1.0,18.6283987915,1.66666666667
9111209,1.0,41.398428,2.159673,1.0,35.0,Apartment,5.0,Private room,la Vila de Grcia,19.45,4.0,22.7963525836,5.83333333333
9115718,2.0,41.377787,2.167149,2.0,37.0,Apartment,5.0,Private room,el Raval,45.48,2.0,100.0,6.16666666667
912414,1.0,41.374854,2.146315,4.0,65.0,Apartment,4.5,Entire home/apt,Hostafrancs,41.92,31.32,25.8875739645,339.3
913879,1.0,41.393459,2.154379,2.0,78.0,Apartment,5.0,Entire home/apt,l'Antiga Esquerra de l'Eixample,96.99,7.0,37.3961218837,45.5
9143665,4.0,41.378102,2.160259,1.0,20.0,Apartment,4.5,Private room,Sant Antoni,24.66,3.0,23.8095238095,2.5
9146100,0.0,41.379558,2.175006,1.0,50.0,House,4.5,Entire home/apt,el Barri Gtic,57.53,12.0,26.9121813031,25.0
916232,1.0,41.391171,2.163153,3.0,125.0,Apartment,5.0,Entire home/apt,la Dreta de l'Eixample,79.18,28.33,89.5316804408,442.65625
919483,7.0,41.374069,2.168634,2.0,79.0,Apartment,4.5,Entire home/apt,el Poble Sec,98.08,23.0,13.5327635328,151.416666667
9199596,1.0,41.398797,2.145195,2.0,50.0,Apartment,5.0,Private room,Sant Gervasi - Galvany,98.9,1.0,17.4757281553,4.16666666667
9203539,1.0,41.408965,2.209941,3.0,96.0,Apartment,5.0,Entire home/apt,Diagonal Mar i el Front Martim del Poblenou,92.6,1.0,37.5,12.0
9213100,1.0,41.379454,2.172733,2.0,90.0,Apartment,5.0,Entire home/apt,el Raval,42.47,8.0,13.9817629179,60.0
922707,1.0,41.404224,2.165642,3.0,44.0,Apartment,4.5,Private room,el Camp d'en Grassot i Grcia Nova,98.36,24.68,13.2183333333,135.74
9228085,0.0,41.393369,2.149122,1.0,22.0,Bed & Breakfast,4.0,Private room,l'Antiga Esquerra de l'Eixample,15.07,1.0,49.7237569061,0.916666666667
922907,0.0,41.373307,2.168411,2.0,79.0,Apartment,4.0,Entire home/apt,el Poble Sec,96.71,20.5,14.7388888889,134.958333333
9232387,0.0,41.404087,2.178437,1.0,21.0,Apartment,3.5,Private room,la Sagrada Famlia,96.44,1.0,12.0689655172,0.875
9235664,1.0,41.374394,2.162567,1.0,25.0,Apartment,4.0,Private room,el Poble Sec,98.36,1.0,14.9122807018,1.04166666667
9237132,1.0,41.37778,2.165551,2.0,79.0,Apartment,4.5,Entire home/apt,el Raval,97.53,5.0,22.9007633588,32.9166666667
9244278,2.0,41.374519,2.164817,2.0,36.0,Condominium,5.0,Private room,el Poble Sec,82.19,1.0,28.7671232877,3.0
9248681,1.0,41.387598,2.181077,1.0,90.0,Apartment,5.0,Entire home/apt,"Sant Pere, Santa Caterina i la Ribera",85.21,3.0,52.0833333333,11.25
9252128,1.0,41.393728,2.148696,1.0,70.0,Apartment,5.0,Entire home/apt,l'Antiga Esquerra de l'Eixample,5.75,1.0,14.1414141414,2.91666666667
925557,1.0,41.401404,2.167825,4.0,69.0,Apartment,5.0,Entire home/apt,el Camp d'en Grassot i Grcia Nova,93.97,25.49,20.7756232687,293.135
9265958,1.0,41.385397,2.173229,1.0,46.0,Apartment,4.5,Private room,el Barri Gtic,21.37,4.0,30.0,7.66666666667
927680,0.0,41.399248,2.180312,2.0,280.0,Apartment,4.5,Entire home/apt,el Fort Pienc,75.62,22.5,43.4782608696,525.0
9278832,1.0,41.38268,2.183425,1.0,25.0,Apartment,4.5,Private room,"Sant Pere, Santa Caterina i la Ribera",45.48,9.0,13.6497175141,9.375
9280624,0.0,41.425041,2.157318,2.0,25.0,Apartment,3.5,Entire home/apt,el Carmel,94.52,3.0,33.3333333333,6.25
9289754,0.0,41.382224,2.156862,2.0,46.0,Apartment,4.5,Private room,la Nova Esquerra de l'Eixample,95.07,4.0,17.6470588235,15.3333333333
