,availability,avg_estimated_bookings,avg_minstay,avg_occupancy_rate,avg_price,avg_reviews_listing,income_month,income_year,listings,most_common_neigh
6070749,99.7,14.5,2.0,13.7,53.0,29.0,128.1,1537.0,1,la Dreta de l'Eixample
4710878,83.8,9.2,2.0,3.3,42.0,18.3,64.2,770.3,1,Sant Antoni
38495653,98.6,0.5,1.0,12.6,35.0,1.0,1.5,17.5,1,el Poble Sec
721378,93.0,8.1,2.0,13.5,32.5,16.3,94.6,1135.0,2,la Nova Esquerra de l'Eixample
40731108,99.7,0.8,2.0,14.4,48.0,1.5,12.7,152.0,2,la Vila de Grcia
14836197,83.2,4.8,2.0,3.4,25.0,9.5,39.6,475.0,2,el Raval
25737980,78.4,22.5,1.0,10.1,29.0,45.0,54.4,652.5,1,el Camp d'en Grassot i Grcia Nova
9355754,24.9,9.0,2.0,5.3,68.0,18.0,102.0,1224.0,1,el Raval
49938039,89.3,1.0,1.0,8.8,25.0,2.0,2.1,25.0,1,la Nova Esquerra de l'Eixample
1597933,98.4,11.0,0.0,7.7,75.0,22.0,0.0,0.0,1,Diagonal Mar i el Front Martim del Poblenou
11592174,78.4,20.0,0.0,9.5,90.0,40.0,0.0,0.0,1,Sants
19096048,99.7,0.5,7.0,0.4,80.0,1.0,23.3,280.0,1,l'Antiga Esquerra de l'Eixample
6193653,4.4,3.0,0.0,14.1,60.0,6.0,0.0,0.0,1,el Raval
3678711,99.2,6.1,0.0,6.9,41.7,12.1,0.0,0.0,7,Vallcarca i els Penitents
1352184,98.9,6.6,3.0,6.4,40.0,13.2,65.8,790.2,1,"Sant Pere, Santa Caterina i la Ribera"
24027642,90.1,4.0,2.0,0.9,25.0,8.0,16.7,200.0,1,Sant Antoni
