,longitude,latitude,price
3240744,2.166585,41.375906,49.0
104485,2.156415,41.391189,29.0
756634,2.180087,41.395198,60.0
5868129,2.134314,41.375855,18.0
7557313,2.13826,41.359475,119.0
1070511,2.154074,41.407163,30.0
536582,2.172659,41.395815,30.0
10229596,2.173003,41.385937,50.0
11311620,2.201574,41.385592,100.0
10843559,2.203434,41.398818,76.0
6384780,2.150932,41.400408,83.0
4602919,2.216241,41.415904,29.0
717710,2.14559,41.380191,65.0
4201240,2.155251,41.411526,90.0
7525538,2.144055,41.432176,40.0
7217299,2.142941,41.373391,30.0
7161550,2.158359,41.386051,59.0
1389682,2.174248,41.395868,50.0
11710505,2.167234,41.372918,75.0
9781270,2.187862,41.37933,20.0
4783753,2.15769,41.380853,40.0
532111,2.161203,41.373473,99.0
4697904,2.186824,41.381101,52.0
11597894,2.206745,41.406218,50.0
3873214,2.19935,41.387831,100.0
4295115,2.165997,41.372525,61.0
7830495,2.163491,41.374451,60.0
706814,2.176546,41.382768,30.0
10324184,2.142612,41.372899,20.0
537980,2.184914,41.408633,46.0
9805046,2.174512,41.378099,25.0
11637095,2.163086,41.40455,50.0
11673745,2.167074,41.438437,20.0
7337467,2.182452,41.420075,69.0
9802215,2.181938,41.393623,82.0
5264765,2.173357,41.403131,100.0
676555,2.176911,41.388416,50.0
2768724,2.159613,41.374418,30.0
3707601,2.161864,41.38318,55.0
6145005,2.172618,41.407249,40.0
5295774,2.144995,41.403864,60.0
8874708,2.150848,41.377074,59.0
1298637,2.192404,41.392315,64.0
305213,2.165323,41.376686,75.0
605355,2.182359,41.384828,35.0
10826314,2.166109,41.376557,128.0
1086536,2.181679,41.384889,15.0
703719,2.17804,41.40267,185.0
4935815,2.189356,41.375507,99.0
9204950,2.199967,41.400755,46.0
6832173,2.160088,41.37753,2063.0
518247,2.162089,41.377137,45.0
1505984,2.131262,41.386384,66.0
8455712,2.12675,41.39078,53.0
4686451,2.214002,41.403802,281.0
7696855,2.138967,41.404805,49.0
11814035,2.167366,41.393391,40.0
7793607,2.184364,41.414435,70.0
11391459,2.199582,41.387219,45.0
5489022,2.151854,41.386489,50.0
11390302,2.173711,41.440511,22.0
10515010,2.167379,41.384449,90.0
3000464,2.160729,41.385874,105.0
6581639,2.143646,41.390499,81.0
8267781,2.165571,41.397912,35.0
3551142,2.157007,41.401119,75.0
10868702,2.164064,41.397712,25.0
9088703,2.183903,41.383929,33.0
702095,2.166268,41.393296,85.0
7693514,2.203156,41.398274,68.0
1363648,2.150818,41.406776,95.0
12083476,2.175919,41.397891,33.0
9072186,2.183104,41.384661,160.0
9072185,2.159654,41.37247,29.0
8370556,2.164297,41.370696,65.0
7332172,2.147294,41.393619,124.0
12156244,2.156995,41.380489,47.0
3532028,2.157025,41.402072,40.0
679117,2.181789,41.386367,66.0
10561340,2.147434,41.400006,89.0
6193969,2.16929,41.41181,15.0
2025913,2.172055,41.387125,149.0
790761,2.137439,41.376137,65.0
7167989,2.138573,41.39806,2751.0
4664614,2.216022,41.405404,192.0
1520042,2.190127,41.406251,80.0
939792,2.150345,41.400539,80.0
